                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2806,                0.67366,                   1.14,                0.98974,                0.88936,                0.92816,                0.62551,                 1.1809,                0.57128,                 1.1856,              0.0013466,              0.0013466,              0.0013466
                     35,                  1.279,                0.67605,                 1.1428,                0.98713,                0.89631,                0.92617,                0.63175,                 1.1623,                0.58983,                 1.1829,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2664,                0.66831,                 1.1351,                0.98833,                0.89862,                0.92686,                0.63005,                 1.2194,                0.57996,                 1.2258,               0.001307,               0.001307,               0.001307
                     37,                 1.2646,                0.65845,                 1.1254,                0.98736,                0.89982,                 0.9285,                0.63775,                 1.1711,                0.56892,                 1.1724,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2717,                0.65773,                 1.1308,                 0.9898,                0.89459,                0.93002,                0.64478,                 1.1608,                0.56879,                 1.1801,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2653,                0.65838,                  1.122,                 0.9822,                0.90323,                0.93084,                0.63486,                 1.1924,                0.57121,                 1.1963,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2385,                0.64729,                 1.1266,                 0.9827,                0.91244,                0.93302,                0.65053,                 1.1372,                 0.5475,                 1.1666,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2599,                0.65097,                 1.1273,                0.98034,                0.89401,                0.93206,                0.65332,                 1.1115,                0.55703,                 1.1592,               0.001208,               0.001208,               0.001208
                     42,                 1.2464,                0.64483,                  1.123,                0.98422,                 0.8894,                0.92406,                0.64573,                   1.14,                0.55312,                 1.1727,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2223,                0.63622,                 1.1158,                 0.9874,                0.90311,                0.92713,                0.64509,                 1.1159,                0.56305,                 1.1482,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2367,                0.64529,                 1.1201,                0.97267,                0.90221,                 0.9284,                0.64894,                 1.1202,                0.54975,                 1.1563,              0.0011486,              0.0011486,              0.0011486
                     45,                  1.237,                0.63254,                 1.1214,                 0.9923,                0.89092,                0.92657,                0.65099,                 1.1191,                0.55302,                 1.1539,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.2219,                0.63149,                 1.1082,                0.98485,                0.89869,                0.92994,                0.64345,                 1.1442,                0.54168,                 1.1545,               0.001109,               0.001109,               0.001109
