                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.334,                 1.1765,                 1.3662,                0.74261,                0.89433,                0.78455,                0.55511,                 1.0543,                0.80471,                 1.2959,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.3449,                 1.1733,                 1.3626,                0.71684,                0.91547,                0.70903,                0.50536,                0.99071,                 0.8342,                 1.2594,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.3291,                 1.1743,                 1.3569,                0.77813,                0.81927,                0.84276,                0.62033,                 1.0161,                0.80074,                 1.2566,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.3294,                 1.1832,                 1.3592,                0.71209,                0.90051,                0.70049,                0.46319,                 1.1578,                 0.8916,                  1.337,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.3062,                 1.1561,                 1.3405,                 0.7263,                 0.9017,                0.73489,                0.53215,                 1.0044,                0.82543,                   1.26,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.3083,                 1.1611,                 1.3444,                0.73028,                0.90936,                0.76403,                0.55436,                 1.0041,                 0.8021,                 1.2612,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.3155,                 1.1549,                 1.3422,                0.73987,                0.89468,                0.73487,                0.52916,                 1.0096,                0.83495,                 1.2556,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.2883,                 1.1411,                 1.3261,                0.74027,                0.92849,                0.77923,                0.55497,                 1.0142,                0.79588,                 1.2585,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.2917,                 1.1438,                 1.3336,                0.74466,                0.90202,                0.77567,                 0.5583,                  0.999,                0.81517,                 1.2495,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.2932,                 1.1396,                 1.3355,                0.73574,                0.92002,                0.73711,                0.53849,                0.94626,                0.80423,                 1.2128,             0.00097386,             0.00097386,             0.00097386
