                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3958,                 1.4874,                 1.1737,                  0.885,                0.78111,                0.85099,                0.56152,                 1.2248,                0.84503,                 1.1131,              0.0033202,              0.0033202,              0.0033202
                      2,                 1.3076,                0.82224,                 1.0726,                0.92649,                0.84212,                 0.8975,                0.57871,                 1.2464,                0.78361,                 1.1003,              0.0066206,              0.0066206,              0.0066206
                      3,                 1.3863,                0.90788,                 1.1248,                0.80758,                0.73963,                 0.7847,                0.42439,                 1.5589,                 1.2976,                 1.2714,               0.009888,               0.009888,               0.009888
                      4,                 1.4495,                0.92629,                 1.1793,                0.91496,                0.82949,                0.89534,                0.57101,                 1.2744,                0.85118,                 1.2496,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.4342,                0.86818,                 1.2079,                0.94338,                0.87327,                0.90784,                0.57271,                 1.3266,                0.74811,                 1.3091,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.3886,                0.82639,                 1.1726,                0.94741,                0.87165,                0.92302,                0.54716,                 1.3017,                 0.7906,                 1.2868,               0.009802,               0.009802,               0.009802
                      7,                 1.3722,                0.78915,                 1.1736,                0.92928,                 0.8781,                0.91087,                0.55623,                 1.3416,                0.75474,                 1.2789,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.3314,                0.74344,                 1.1584,                0.97209,                0.87327,                0.91985,                0.62234,                 1.1836,                0.61437,                 1.2025,               0.009703,               0.009703,               0.009703
                      9,                 1.3007,                0.72249,                 1.1341,                0.96859,                 0.8894,                0.92391,                0.59159,                 1.2317,                0.64216,                 1.2106,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.2856,                0.70632,                 1.1418,                0.97081,                0.88479,                0.93866,                0.63977,                 1.1504,                0.59784,                  1.177,               0.009604,               0.009604,               0.009604
                     11,                 1.2639,                0.69393,                 1.1311,                0.97332,                0.90092,                0.92496,                0.63497,                 1.1223,                0.60532,                 1.1771,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.2345,                0.67023,                  1.115,                0.96556,                0.90451,                0.94311,                0.65594,                  1.102,                0.55854,                 1.1516,               0.009505,               0.009505,               0.009505
                     13,                 1.2233,                0.65527,                 1.1169,                0.96566,                0.90709,                0.94978,                0.64606,                 1.1301,                0.57406,                 1.1656,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.2092,                0.64327,                 1.1073,                0.97719,                0.92166,                0.94638,                0.67202,                 1.0633,                0.50568,                 1.1278,               0.009406,               0.009406,               0.009406
                     15,                 1.2113,                0.64075,                 1.1009,                0.97766,                0.91014,                0.94582,                0.66741,                 1.0774,                0.54085,                 1.1383,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.1857,                0.62888,                 1.0934,                0.98466,                 0.8875,                0.93664,                0.65721,                 1.1039,                0.55254,                 1.1668,               0.009307,               0.009307,               0.009307
                     17,                 1.1771,                0.61809,                 1.0951,                0.99049,                0.89862,                 0.9557,                0.67911,                 1.0811,                0.50837,                 1.1538,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.1848,                0.60778,                 1.0933,                 0.9895,                0.90092,                0.95382,                0.66503,                 1.0611,                0.53418,                 1.1342,               0.009208,               0.009208,               0.009208
                     19,                 1.1651,                0.60114,                 1.0816,                0.97996,                0.90151,                0.95268,                0.65908,                 1.1011,                0.56214,                 1.1643,              0.0091585,              0.0091585,              0.0091585
