                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.066,                0.52972,                 1.0405,                0.99678,                0.91935,                 0.9687,                0.70365,                 1.0089,                0.45449,                 1.1002,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.0589,                0.52623,                 1.0376,                0.99498,                0.91341,                0.96972,                0.69822,                 1.0415,                 0.4716,                 1.1086,              0.0093268,              0.0093268,              0.0093268
                     37,                  1.065,                0.52407,                 1.0391,                0.99307,                0.90553,                0.96623,                0.70715,                 1.0097,                0.46569,                 1.1025,               0.009307,               0.009307,               0.009307
                     38,                 1.0587,                0.51976,                  1.029,                0.99308,                0.91475,                0.96494,                0.71268,                0.99376,                0.45485,                 1.0962,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.0567,                0.52584,                 1.0321,                0.99593,                0.91935,                0.97021,                0.72786,                 0.9614,                0.45194,                 1.0783,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.0617,                0.51536,                  1.031,                0.99253,                0.91862,                0.96823,                0.73114,                 0.9469,                0.43455,                 1.0679,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.0401,                 0.5069,                 1.0307,                0.99504,                0.92387,                0.97354,                0.72531,                0.95688,                 0.4334,                 1.0751,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.0533,                0.51805,                 1.0337,                0.99251,                0.91649,                0.97156,                0.72145,                0.98478,                0.45221,                 1.0844,               0.009208,               0.009208,               0.009208
                     43,                 1.0388,                0.50531,                 1.0271,                0.98754,                0.91318,                0.97071,                0.72537,                 0.9616,                0.43331,                 1.0748,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.0264,                0.49676,                 1.0244,                0.99868,                0.91705,                0.97365,                0.73052,                0.96078,                0.43346,                  1.065,              0.0091684,              0.0091684,              0.0091684
                     45,                 1.0334,                0.50333,                 1.0271,                0.99427,                0.92166,                0.97931,                0.72792,                0.96312,                0.42848,                  1.079,              0.0091486,              0.0091486,              0.0091486
                     46,                 1.0284,                 0.5009,                 1.0248,                0.99635,                0.91705,                 0.9735,                0.73131,                0.96284,                0.43714,                 1.0642,              0.0091288,              0.0091288,              0.0091288
                     47,                 1.0189,                0.49846,                 1.0172,                0.99694,                0.91935,                0.97366,                0.72109,                0.97003,                0.44213,                 1.0816,               0.009109,               0.009109,               0.009109
                     48,                 1.0166,                0.49443,                 1.0195,                0.99255,                 0.9215,                0.97102,                0.72832,                0.94713,                0.42412,                 1.0636,              0.0090892,              0.0090892,              0.0090892
                     49,                 1.0239,                0.49759,                 1.0163,                0.99204,                0.91935,                0.97499,                0.73547,                0.94523,                0.42177,                 1.0669,              0.0090694,              0.0090694,              0.0090694
                     50,                 1.0183,                0.49417,                 1.0135,                0.99245,                 0.9091,                0.96847,                0.72132,                0.96714,                 0.4471,                 1.0762,              0.0090496,              0.0090496,              0.0090496
                     51,                 1.0093,                0.48736,                 1.0121,                0.99251,                0.91658,                0.97638,                0.72781,                0.95237,                0.42834,                 1.0663,              0.0090298,              0.0090298,              0.0090298
                     52,                 1.0121,                0.49273,                 1.0079,                 0.9869,                0.91705,                0.97065,                0.72159,                0.97434,                0.43628,                 1.0804,                0.00901,                0.00901,                0.00901
                     53,                 1.0108,                0.48388,                 1.0155,                0.99424,                0.91475,                0.96489,                0.73169,                0.93186,                0.42707,                 1.0626,              0.0089902,              0.0089902,              0.0089902
                     54,                 1.0073,                0.48663,                  1.008,                0.98842,                0.91244,                0.97172,                0.73239,                0.93636,                0.42015,                 1.0626,              0.0089704,              0.0089704,              0.0089704
                     55,                 1.0075,                  0.486,                 1.0087,                0.99006,                 0.9182,                0.97478,                0.73295,                0.94343,                0.42802,                 1.0708,              0.0089506,              0.0089506,              0.0089506
                     56,                0.99088,                 0.4754,                 1.0008,                0.99662,                0.91244,                0.97611,                0.72857,                0.95505,                0.41925,                  1.068,              0.0089308,              0.0089308,              0.0089308
                     57,                0.99602,                0.47516,                0.99838,                0.99014,                0.92166,                0.97513,                0.73096,                0.96012,                0.42774,                 1.0657,               0.008911,               0.008911,               0.008911
                     58,                0.99359,                0.47821,                 1.0054,                0.99748,                0.91203,                0.97491,                0.73101,                0.95268,                 0.4172,                 1.0729,              0.0088912,              0.0088912,              0.0088912
                     59,                0.97701,                0.47452,                 1.0034,                  0.995,                0.91673,                0.98332,                0.73298,                0.96926,                 0.4145,                 1.0653,              0.0088714,              0.0088714,              0.0088714
                     60,                0.97679,                0.47071,                 1.0018,                0.99237,                0.91244,                 0.9696,                0.73764,                0.94151,                0.41396,                 1.0585,              0.0088516,              0.0088516,              0.0088516
                     61,                0.96037,                0.45977,                0.99565,                0.99251,                 0.9164,                0.97596,                0.72603,                0.94987,                0.40715,                 1.0713,              0.0088318,              0.0088318,              0.0088318
                     62,                0.97543,                0.47175,                0.99901,                0.98755,                0.92627,                0.97776,                0.73581,                0.95694,                0.42483,                 1.0753,               0.008812,               0.008812,               0.008812
                     63,                0.96347,                0.46156,                0.99606,                0.99714,                0.92166,                0.97925,                0.73801,                0.93398,                0.39668,                 1.0518,              0.0087922,              0.0087922,              0.0087922
                     64,                0.96601,                0.45842,                0.99823,                0.99893,                0.91935,                0.98011,                0.74327,                0.93121,                0.39674,                 1.0572,              0.0087724,              0.0087724,              0.0087724
                     65,                0.97068,                0.46628,                0.99132,                0.99189,                0.91475,                0.97889,                0.73326,                  0.942,                0.40708,                 1.0668,              0.0087526,              0.0087526,              0.0087526
                     66,                0.96934,                0.46509,                0.99599,                0.99413,                0.91935,                0.97927,                0.73473,                0.94281,                0.40751,                 1.0639,              0.0087328,              0.0087328,              0.0087328
                     67,                0.94894,                0.46017,                0.98263,                 0.9945,                0.91705,                0.97768,                0.74374,                0.93439,                0.39893,                 1.0701,               0.008713,               0.008713,               0.008713
