                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1111,                 0.5669,                 1.0453,                0.99291,                0.91014,                0.95709,                0.70126,                 1.0066,                 0.4913,                 1.0794,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1049,                0.56403,                 1.0486,                0.98439,                0.91935,                0.96702,                0.69822,                 1.0088,                0.49328,                 1.0737,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.1114,                0.56307,                 1.0496,                0.99244,                0.90744,                0.96619,                0.68449,                 1.0518,                0.50625,                 1.1049,               0.001307,               0.001307,               0.001307
                     38,                 1.0909,                0.55299,                  1.033,                0.99251,                0.91639,                0.96762,                0.70506,                 1.0218,                0.49285,                 1.0928,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.1001,                0.55781,                 1.0389,                0.99388,                0.91705,                 0.9654,                0.70676,                 1.0193,                0.48471,                 1.0985,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.0988,                0.55214,                 1.0373,                 0.9969,                0.91935,                0.96926,                0.71065,                0.99674,                 0.4714,                 1.0746,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.0819,                0.54311,                 1.0429,                0.98917,                0.91475,                0.97249,                0.71115,                 1.0097,                0.48144,                 1.0907,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.0911,                0.54604,                 1.0445,                0.97429,                0.92857,                0.97165,                0.71111,                 1.0076,                0.46957,                 1.0833,               0.001208,               0.001208,               0.001208
                     43,                 1.0774,                0.53661,                 1.0341,                 0.9944,                0.91244,                0.96098,                0.71264,                 1.0023,                0.47075,                 1.0869,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.0713,                 0.5357,                 1.0349,                0.99501,                0.91863,                0.96679,                0.70974,                0.98445,                0.47227,                   1.07,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.0744,                0.54027,                 1.0365,                0.99002,                0.91386,                0.97169,                0.70788,                  1.005,                0.47366,                 1.0835,              0.0011486,              0.0011486,              0.0011486
