                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.02811,                   0.95,                      1,                0.11627,             0.00025454,             0.00025454,             0.00025454
                     67,                0.02819,                  0.875,                      1,                0.12239,             0.00024747,             0.00024747,             0.00024747
                     68,                 0.0365,                   0.95,                      1,                0.11989,              0.0002404,              0.0002404,              0.0002404
                     69,                0.02404,                   0.95,                      1,                0.11897,             0.00023334,             0.00023334,             0.00023334
                     70,                0.02382,                   0.95,                      1,                0.11487,             0.00022627,             0.00022627,             0.00022627
                     71,                 0.0299,                  0.875,                      1,                0.12468,              0.0002192,              0.0002192,              0.0002192
                     72,                0.03047,                   0.95,                      1,                0.11446,             0.00021213,             0.00021213,             0.00021213
                     73,                0.02474,                  0.925,                      1,                 0.1185,             0.00020506,             0.00020506,             0.00020506
                     74,                0.02389,                  0.975,                      1,                0.11536,             0.00019799,             0.00019799,             0.00019799
                     75,                0.02202,                   0.95,                      1,                0.11354,             0.00019092,             0.00019092,             0.00019092
                     76,                0.02187,                  0.975,                      1,                0.11334,             0.00018385,             0.00018385,             0.00018385
                     77,                0.02073,                  0.925,                      1,                0.11693,             0.00017679,             0.00017679,             0.00017679
                     78,                0.01897,                  0.925,                      1,                0.11583,             0.00016972,             0.00016972,             0.00016972
                     79,                0.02103,                   0.95,                      1,                0.11678,             0.00016265,             0.00016265,             0.00016265
                     80,                0.01853,                  0.925,                      1,                0.11885,             0.00015558,             0.00015558,             0.00015558
                     81,                0.02538,                  0.925,                      1,                0.11752,             0.00014851,             0.00014851,             0.00014851
                     82,                0.02062,                   0.95,                      1,                0.11578,             0.00014144,             0.00014144,             0.00014144
                     83,                0.01879,                   0.95,                      1,                0.11465,             0.00013437,             0.00013437,             0.00013437
                     84,                0.02097,                   0.95,                      1,                0.11713,             0.00012731,             0.00012731,             0.00012731
                     85,                0.01728,                  0.925,                      1,                0.11858,             0.00012024,             0.00012024,             0.00012024
                     86,                0.02072,                  0.975,                      1,                0.11421,             0.00011317,             0.00011317,             0.00011317
                     87,                0.01697,                   0.95,                      1,                0.11902,              0.0001061,              0.0001061,              0.0001061
                     88,                0.01492,                  0.925,                      1,                0.11868,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.01734,                  0.975,                      1,                0.11302,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.01877,                  0.975,                      1,                0.11273,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.02038,                  0.975,                      1,                0.11394,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.01353,                  0.975,                      1,                0.11475,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.01756,                    0.9,                      1,                0.11769,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.01842,                  0.925,                      1,                0.11862,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.01548,                   0.95,                      1,                0.11848,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.01637,                   0.95,                      1,                0.11659,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                  0.013,                   0.95,                      1,                0.11745,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                 0.0154,                   0.95,                      1,                0.11865,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.01321,                   0.95,                      1,                 0.1181,             2.1277e-05,             2.1277e-05,             2.1277e-05
